"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Jin Y.; Sharifi A.; Li Z.; Chen S.; Zeng S.; Zhao S.","Jin, Yukai (58984124600); Sharifi, Ayyoob (55203967900); Li, Zhisheng (55899765700); Chen, Sirui (58984124700); Zeng, Suzhen (58983314000); Zhao, Shanlun (58984124800)","58984124600; 55203967900; 55899765700; 58984124700; 58983314000; 58984124800","Carbon emission prediction models: A review","2024","Science of the Total Environment","927","","172319","","","","0","10.1016/j.scitotenv.2024.172319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190256725&doi=10.1016%2fj.scitotenv.2024.172319&partnerID=40&md5=83e7e90ab65a5e36099e5816821f1194","Amidst growing concerns over the greenhouse effect, especially its consequential impacts, establishing effective Carbon Emission Prediction Models (CEPMs) to comprehend and predict CO2 emission trends is imperative for climate change mitigation. A review of 147 Carbon Emission Prediction Model (CEPM) studies revealed three predominant functions—prediction, optimization, and prediction factor selection. Statistical models, comprising 75 instances, were the most prevalent among prediction models, followed by neural network models at 21.8 %. The consistent rise in neural network model usage, particularly feedforward architectures, was observed from 2019 to 2022. A majority of CEPMs incorporated optimized approaches, with 94.4 % utilizing metaheuristic models. Parameter optimization was the primary focus, followed by structure optimization. Prediction factor selection models, employing Grey Relational Analysis (GRA) and Principal Component Analysis (PCA) for statistical and machine learning models, respectively, filtered factors effectively. Scrutinizing accuracy, pre-optimized CEPMs exhibited varied performance, Root Mean Square Error (RMSE) values spanned from 0.112 to 1635 Mt, while post-optimization led to a notable improvement, the minimum RMSE reached 0.0003 Mt, and the maximum was 95.14 Mt. Finally, we summarized the pros and cons of existing models, classified and counted the factors that influence carbon emissions, clarified the research objectives in CEPM and assessed the applied model evaluation methods and the spatial and temporal scales of existing research. © 2024 Elsevier B.V.","Review","Final","","Scopus","2-s2.0-85190256725"
"Bienvenido-Huertas D.; Sánchez-García D.; Marín-García D.; Rubio-Bellido C.","Bienvenido-Huertas, David (57201717825); Sánchez-García, Daniel (57204012665); Marín-García, David (57197394225); Rubio-Bellido, Carlos (55347352500)","57201717825; 57204012665; 57197394225; 55347352500","Analysing energy poverty in warm climate zones in Spain through artificial intelligence","2023","Journal of Building Engineering","68","","106116","","","","5","10.1016/j.jobe.2023.106116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148320719&doi=10.1016%2fj.jobe.2023.106116&partnerID=40&md5=2333f0d9cb25228602cf878464dc1375","Using automated tools to detect energy poverty (EP) is a developing field. Artificial intelligence and data mining could be used to provide solutions to reduce EP cases. As for Spain, there is no study addressing this characterization that could be significant in warmer zones of the country (i.e., the most exposed zones to climate change). Simulated energy consumption data were used with data of energy prices and family units' incomes based on the public income indicator of multiple effects (IPREM in Spanish). In addition, the high share of energy expenditure in income (2 M) was used to assess EP. A total of 36,230,400 cases were simulated to train and test 312 prediction models, 104 by each algorithm. The algorithms were multilayer perceptron (MLP), random forest (RF), and M5P. The results showed that these three algorithms were appropriate, with tree-type models obtaining better estimates. For greater effectiveness, prediction models should also be used for the income threshold considered in their development. The results also showed the utility of artificial intelligence in the prediction of EP without performing an energy analysis in detail, thus optimizing energy managers and social workers' work. In addition, prediction tools could be used to estimate monthly family units’ EP situation. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85148320719"
"Yao T.; Li J.","Yao, Tianen (58553058100); Li, Jing (57209630149)","58553058100; 57209630149","Environmental sustainability performance assessment in relation to visibility in African regions with interpretable machine learning","2023","Journal of Cleaner Production","428","","139414","","","","0","10.1016/j.jclepro.2023.139414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175075027&doi=10.1016%2fj.jclepro.2023.139414&partnerID=40&md5=3e05cbaf9872af47db1989dbba8e47db","Most African countries have developed their economies without causing large-scale ecological damage, yet they face severe challenges from global climate change and COVID-19 epidemic. To address this paradox, explainable machine learning coupled with panel data models are proposed to examine the different performances of Cameroon, Zimbabwe, Ghana, and Eritrea in terms of environmental sustainability measured by visibility. The results show that all countries except Zimbabwe have inverted N-shaped Environmental Kuznets Curves (EKCs), suggesting that the economic development works against environmental sustainability. Based on the modified TOPSIS (Technique for Order Preference by Similarity to an Ideal Solution), Cameroon's environmental sustainability performance is particularly poor, while Eritrea's is better. Meanwhile, Eritrea is not exogenously threatened by epidemics, while Cameroon and Ghana are. By integrating the multidimensional Sustainable Development Goal (SDG) achievement pathway assessment system, Zimbabwe may be moving towards green growth. More importantly, the Shapley additive explanation (SHAP) technique is applied to quantify and visualize the socio-economic drivers of environmental sustainability. The results depict that, in addition to meteorological drivers, per capita income plays a leading role. In conclusion, we can validate the contribution of artificial intelligence algorithms to the SDGs and employ a comprehensive method for assessing SDG performance linking environment, economy, and public health. This could lead to some key recommendations for policymakers and international investors to better contribute to the SDGs. © 2023","Article","Final","","Scopus","2-s2.0-85175075027"
"Giannarakis G.; Tsoumas I.; Neophytides S.; Papoutsa C.; Kontoes C.; Hadjimitsis D.","Giannarakis, G. (57678211800); Tsoumas, I. (57210122143); Neophytides, S. (58519630000); Papoutsa, C. (36844424000); Kontoes, C. (35618936400); Hadjimitsis, D. (6602838400)","57678211800; 57210122143; 58519630000; 36844424000; 35618936400; 6602838400","UNDERSTANDING THE IMPACTS OF CROP DIVERSIFICATION IN THE CONTEXT OF CLIMATE CHANGE: A MACHINE LEARNING APPROACH","2023","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","48","1/W2-2023","","1379","1384","5","0","10.5194/isprs-archives-XLVIII-1-W2-2023-1379-2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183299841&doi=10.5194%2fisprs-archives-XLVIII-1-W2-2023-1379-2023&partnerID=40&md5=1ccdc9262ddae35138d24b0a67e73ed5","The concept of sustainable intensification in agriculture necessitates the implementation of management practices that prioritize sustainability without compromising productivity. However, the effects of such practices are known to depend on environmental conditions, and are therefore expected to change as a result of a changing climate. We study the impact of crop diversification on productivity in the context of climate change. We leverage heterogeneous Earth Observation data and contribute a data-driven approach based on causal machine learning for understanding how crop diversification impacts may change in the future. We apply this method to the country of Cyprus throughout a 4-year period. We find that, on average, crop diversification significantly benefited the net primary productivity of crops, increasing it by 2.8%. The effect generally synergized well with higher maximum temperatures and lower soil moistures. In a warmer and more drought-prone climate, we conclude that crop diversification exhibits promising adaptation potential and is thus a sensible policy choice with regards to agricultural productivity for present and future. © Author(s) 2023.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183299841"
"Aparna; Lal D.; Chauhan C.; Joshi A.; Deo I.; Singh S.","Aparna (58406645800); Lal, Dalpat (57579797300); Chauhan, Charupriya (57552574100); Joshi, Anjali (57214346366); Deo, Indra (57194202172); Singh, Suman (58957257800)","58406645800; 57579797300; 57552574100; 57214346366; 57194202172; 58957257800","Smart Breeding for Climate-Resilient Agriculture","2024","Smart Breeding: Molecular Interventions and Advancements for Crop Improvement","","","","155","167","12","0","10.1201/9781003361862-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188687024&doi=10.1201%2f9781003361862-6&partnerID=40&md5=772c354b09dd5f5e8eb7d1cfec402689","Climate change is caused by small variations in weather patterns over a period of time. After the industrial revolution, human activities triggers an increase in greenhouse gases leading to global warming. Both Climate change and agriculture are global processes. Changes in average temperature, precipitation, extremes heat waves, elevated atmospheric CO2 and ozone concentrations are all ill effects of global warming. Due to climatic fluctuations, agriculture and food production system suffer serious problems caused by drought, floods, and upsurge of insect pest and diseases. Improved varieties produced by plant breeding are one of the most important ways to have stable production in the face of new challenges posed by climate change. Role of plant breeding in human civilization is indispensable as it has performed revolutionary task to feed the fast growing population of the globe. Opening the archive of genetic diversity and intensive use of wild resources are inevitably critical for any plant breeding system. To withstand 156the ill effect of climate change, breeding strategies focuses on the generation of varieties with distinct growth habits and time span to avoid unforeseeable occurrences of stress at crucial stage in plant life cycles. Current developments in modern plant breeding and biotechnological approaches such as genomics, proteomics, phenomics, sequencing, cloning, marker assisted breeding (MAB) methodologies and cutting-edge genome-editing technologies along with artificial intelligence (AI), unfold new avenues for speedy climate-resilient smart breeding. Hence, climate smart breeding provides a comprehensive approach to combat climate fluctuations and to produce better-adapted crop varieties. © 2024 Apple Academic Press, Inc.","Book chapter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85188687024"
"Bakirman T.; Kulavuz B.; Bayram B.","Bakirman, Tolga (56247265800); Kulavuz, Bahadir (57772011400); Bayram, Bulent (15130508500)","56247265800; 57772011400; 15130508500","Use of Artificial Intelligence Toward Climate-Neutral Cultural Heritage","2023","Photogrammetric Engineering and Remote Sensing","89","3","","163","171","8","2","10.14358/PERS.22-00118R2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152001336&doi=10.14358%2fPERS.22-00118R2&partnerID=40&md5=4d26041d0d6ff7176e3b74eef0d6e389","Cultural heritage (CH) aims to create new strategies and policies for adapting to climate change. Additionally, the goals of sustainable development aim to protect, monitor, and preserve the world’s CH and to take urgent action to combat climate change and its effects. Therefore, developing efficient and accurate techniques toward making CH climate neutral and more resilient is of vital importance. This study aims to provide a holistic solution to monitor and protect CH from climate change, natural hazards, and anthropogenic effects in a sustainable way. In our study, the efficiency of deep learning using low-cost unmanned aerial vehicles and camera images for the documentation and monitoring of CH is investigated. The dense extreme inception network for edge detection and richer convolu-tional feature architectures have been used for the first time in the literature to extract contours and cracks from CH structures. As a result of the study, F1 scores of 61.38% and 61.50% for both ar-chitectures, respectively, were obtained. The results show that the proposed solution can aid in monitoring the protection of CH from climate change, natural disasters, and anthropogenic effects. © 2023 American Society for Photogrammetry and Remote Sensing.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85152001336"
"Zhao C.; Jia M.; Wang Z.; Mao D.; Wang Y.","Zhao, Chuanpeng (56991746500); Jia, Mingming (35191764600); Wang, Zongming (56021233500); Mao, Dehua (36483152900); Wang, Yeqiao (57200374534)","56991746500; 35191764600; 56021233500; 36483152900; 57200374534","Toward a better understanding of coastal salt marsh mapping: A case from China using dual-temporal images","2023","Remote Sensing of Environment","295","","113664","","","","30","10.1016/j.rse.2023.113664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161717919&doi=10.1016%2fj.rse.2023.113664&partnerID=40&md5=c5716ef425211f75c9183958a0091c83","Coastal salt marshes suffering from anthropogenic coastal development and sea level rise have attracted much attention because of their capacity for carbon sequestration and global climate change mitigation. Accurate mapping of coastal salt marshes is always the first step for their protection, management, and restoration. The inherent complexities of vegetation, dynamics of tides, and anthropogenic disturbances pose challenges for remote sensing-based approaches. Existing studies have utilized phenology information and various black-box algorithms to reduce misclassifications. However, the approaches with dual-temporal images containing phenology information have suffered from inefficiency; the misclassifications have been objectively post-processed rather than considered in the method design, and the tacit knowledge of the trained black-box models has not been revealed. To address the above issues, we proposed a new approach with solid improvements in dual-temporal image construction, misclassification processing, and tacit knowledge analysis, including an efficient method to synthesize dual-temporal images based on the common divisor of the green-up season or senescence season resulting from latitudinal gradients in narrow coastal areas of China, a detailed classification scheme by interpretation of iteratively collected samples, and a key decision rule approximating the trained model. We applied the approach to Sentinel-1/2 images and DEM data, thus deriving a 10-m resolution coastal salt marsh map of China with an overall accuracy of 92.5%. A qualitative comparison showed that the map produced in this study was fitted well with actual salt marsh distributions, resulting in improved accuracy when compared to recently generated maps. The most important contribution is that the overall nature of the trained model observed from the training samples was approximated by a four-feature decision rule following the principle of explainable artificial intelligence, i.e., B8senescence/B4senescence < 2.06 & B4green/B8green < 0.78 & B12green/B11green < 0.72 & elevation < 2.13, and thus established a new potential classification mechanism for dual-temporal black-box algorithms, i.e., the water signal was covered up by flourishing vegetation, but the situation changed when vegetation withered. This study not only generates an accurate coastal salt marsh map at a national scale but also provides a classification mechanism for dual-temporal image-based coastal salt marsh identification and mapping. © 2023 Elsevier Inc.","Article","Final","","Scopus","2-s2.0-85161717919"
"Başkent E.Z.; Kašpar J.","Başkent, Emin Zeki (6701704098); Kašpar, Jan (55910999100)","6701704098; 55910999100","Exploring the effects of various rotation lengths on the ecosystem services within a multiple-use management framework","2023","Forest Ecology and Management","538","","120974","","","","1","10.1016/j.foreco.2023.120974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151781010&doi=10.1016%2fj.foreco.2023.120974&partnerID=40&md5=b47f9b27a78c2e59795392689f113029","Addressing the spatio-temporal dynamics of forest development under different management scenarios with varying rotation lengths is a challenge in forest management planning. This research aims to forecast forest development and assess the relative consequences of varying rotation lengths on several ecosystem services such as wood production, habitat for biodiversity, carbon sequestration, water provision, soil protection and cultural values. Forest development is simulated with the ETCAP model to examine the long-term effects of various rotation lengths with silvicultural prescriptions on the ecosystem services. Bürücek forest planning unit is used as a case study area with 10,711 ha forests in upper Mediterranean region of Turkey. Shorter rotation lengths are considered one of the main mitigation measures to climate changes in forestry; however, lead to the increased harvest level, net present value, ground water and soil loss, and reductions in the largest stand volume, understory, basal area, carbon storage and the cultural values with less regulated forest structure. The management scenarios with longer rotation lengths, however, have highlighted improvements in the carbon storage, larger standing volume, mean stand age, basal area and cultural values, and reductions in the mean harvest volume, net present value, ground water and soil loss due to larger-even distribution of tree sizes and stand development stages. An aspiration for a higher level of provisioning services for economic motivations may need to be discarded for the sake of enhancing the capacity of forest ecosystems to sequester more carbon and provide better habitat condition for biodiversity conservation with a careful design and selection of rotation lengths. Overall, the choice of optimal rotation length is highly dependent on a desired set of management objectives and target forest structure driven mostly by management interventions with the appropriate type and level of ecosystem services, provided that a thorough understanding of forest dynamics is achieved by considering both risks and uncertainties associated with natural disturbances and socio-economic conditions. © 2023 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85151781010"
"Arya A.; Bachheti A.; Bachheti R.K.; Singh M.; Chandel A.K.","Arya, Arvind (57225911104); Bachheti, Archana (55437052500); Bachheti, Rakesh K. (36623425100); Singh, Manav (58982345000); Chandel, Anuj Kumar (15841388300)","57225911104; 55437052500; 36623425100; 58982345000; 15841388300","Role of Artificial Intelligence in Minimizing Carbon Footprint: A Systematic Review of Recent Insights","2024","Green Energy and Technology","Part F2511","","","365","386","21","0","10.1007/978-3-031-51601-6_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190162834&doi=10.1007%2f978-3-031-51601-6_14&partnerID=40&md5=d65e09ede71bedc411467c3bda20ecf7","The artificial intelligence (AI) has been a platform of immense assistance to develop and simplify discoveries in medical science. However, the environmentalist have been researching this concept to benefit the environment to establish multidimensional discoveries of clean energy. An increase in greenhouse gases (GHGs) is caused by most human developmental activities. Direct or indirect emission of GHGs by person, group, event, or any other activity contributes to the carbon footprint. According to the Environmental Protection Agency, USA, major sources of increasing GHGs are transportation (29%), electricity (28%), industry (22%), commercial and residential (12%), and agriculture (9%). Vigorous effects are required to control the increasing GHGs by developing and implementing policies and utilizing new technologies. In this time of challenges presented by climate change, technological advancements in artificial intelligence (AI) or digital assistance have made a significant impact on people’s lifestyles. AI-based technologies to monitor, predict, and reduce GHGs emissions may help in a cleaner environment. This article aims to describe different AI-based approaches to minimize carbon footprints as well as discuss the role of AI in various industries and its economic and societal outcomes. Specifically, we have attempted to fill the research gaps by investigating existing opportunities in the field of AI toward reducing GHG emissions. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Book chapter","Final","","Scopus","2-s2.0-85190162834"
"Naseri H.; Waygood E.O.D.; Wang B.; Patterson Z.","Naseri, Hamed (57211413091); Waygood, E.O.D. (35390098200); Wang, Bobin (57221064190); Patterson, Zachary (23020027200)","57211413091; 35390098200; 57221064190; 23020027200","Interpretable Machine Learning Approach to Predicting Electric Vehicle Buying Decisions","2023","Transportation Research Record","2677","12","","704","717","13","5","10.1177/03611981231169533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177079926&doi=10.1177%2f03611981231169533&partnerID=40&md5=f60a1707767e04c191273955f8ecb739","To address the problem of climate change emissions from the transport sector, many countries are promoting electric vehicles (EVs). To support such efforts, it is essential to know what influences the choice of an EV over a traditional internal combustion engine vehicle (ICEV). To study this, a discrete choice experiment was developed, and 2,015 valid responses were gathered from Canadian adults with a driver’s license. In place of a more traditional analysis, a machine learning approach, XGBoost, was applied. However, two key issues were addressed with respect to its application. First, a practical question related to how best to split the training and testing data was examined. A new technique based on the Coyote optimization algorithm (COA) is developed that automatically determines the split that leads to the greatest prediction accuracy. The policy-relevant results of the analysis found that an individual’s Climate Change-Stage of Change (CC-SoC) and the price ratio of EVs to ICEVs are the most important direct influences. The interaction effect of the first two (CC-SoC and price ratio) is also influential. However, this leads to the second key issue: interpretability. Although high prediction accuracy (87.1%) was achieved, the black-box nature of the approach limits its policy relevance. As such, this research applied a technique, Accumulated Local Effects (ALE), that can determine the strength and direction of influence of the variable. This research demonstrates how machine learning can be applied to a policy-relevant question and provide information that is useful to policy decision makers. © National Academy of Sciences: Transportation Research Board 2023.","Article","Final","","Scopus","2-s2.0-85177079926"
"Eckhoff S.; Hart M.C.G.; Brauner T.; Kraschewski T.; Heumann M.; Breitner M.H.","Eckhoff, Sarah (57523464300); Hart, Maria C.G. (57930414300); Brauner, Tim (57211336842); Kraschewski, Tobias (57211336293); Heumann, Maximilian (57209069430); Breitner, Michael H. (6602910157)","57523464300; 57930414300; 57211336842; 57211336293; 57209069430; 6602910157","Open access decision support for sustainable buildings and neighborhoods: The nano energy system simulator NESSI","2023","Building and Environment","237","","110296","","","","3","10.1016/j.buildenv.2023.110296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152595288&doi=10.1016%2fj.buildenv.2023.110296&partnerID=40&md5=dbbc4165527a407aef41e06dbbdebcbd","The urgency of climate change mitigation, rising energy prices and geopolitical crises make a quick and efficient energy transition in the building sector imperative. Building owners, housing associations, and local governments need support in the complex task to build sustainable energy systems. Motivated by the calls for more solution-oriented, practice-focused research regarding climate change and guided by design science research principles, we address this need and design, develop, and evaluate the web-based decision support system NESSI. NESSI is an open-access energy system simulator with an intuitive user flow to facilitate multi-energy planning for buildings and neighborhoods. It calculates the technical, environmental, and economic effects of 14 energy-producing, consuming, and storing components of the electric and thermal infrastructure, considers time-dependent effects, and accounts for geographic as well as sectoral circumstances. Its applicability is demonstrated with the case of a single-family home in Hannover, Germany, and evaluated through twelve expert interviews. © 2023 The Authors","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85152595288"
"Gao D.; Chen A.S.; Memon F.A.","Gao, Danyang (57970269900); Chen, Albert S. (57193002441); Memon, Fayyaz Ali (6603113379)","57970269900; 57193002441; 6603113379","A Systematic Review of Methods for Investigating Climate Change Impacts on Water-Energy-Food Nexus","2024","Water Resources Management","38","1","","1","43","42","1","10.1007/s11269-023-03659-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179694564&doi=10.1007%2fs11269-023-03659-x&partnerID=40&md5=36af570974f7c87dbb079a2e6be89ff3","Water, energy and food are important for human survival and sustainable development. With climate change, investigating climate change impacts on Water-Energy-Food nexus has been a topic of growing interest in recent years. However, there is a lack of a systematic review of the current state and methodologies of Water-Energy-Food nexus studies under climate change. Here, we review research articles investigating climate change impacts on Water-Food, Water-Energy and Water-Energy-Food nexus over last seven years. The existing methods and tools, spatial scales, and future climate scenarios setting in these articles are summarised and analysed. We found that the analyses methods could be divided into four categories (physics-based modelling, statistical methods, supervised learning and operation optimisation), among them, physics-based modelling accounts for the largest proportion. The reviewed studies cover a range of scales from site scale to global, with most studies focusing on the regional scale. Models used for small to middle scale are mainly related to hydrology and water resource, while large-scale modelling is based on interdisciplinary models. Future climate scenarios setting include emission scenarios and global warming scenarios based on Global Climate Models (GCMs). A number of future research challenges have been identified. These include spatial scale and resolution, internal physical mechanism, application of novel artificial intelligence models, extreme climate events, potential competition in nexus systems as well as data and model uncertainty. © 2023, The Author(s).","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85179694564"
"Hiep U.H.; Nguyen D.K.; Huong B.Q.; Dai P.D.","Hiep, Uong Huy (58537986900); Nguyen, Dang Khoa (58538789500); Huong, Bui Quang (58538464700); Dai, Pham Duc (56189671600)","58537986900; 58538789500; 58538464700; 56189671600","Development of Tools for Decision Support System Based Hydraulic Simulation and IoT for Irrigation System","2023","15th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2023 - Proceedings","","","","","","","0","10.1109/ECAI58194.2023.10194100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168138632&doi=10.1109%2fECAI58194.2023.10194100&partnerID=40&md5=951fdcc4e3d01911a73993b97c978897","Smart agriculture is of important for countries worldwide. In the situation of water scarcity, the effective use of water is urgent for every sector, especially in Vietnam. A large areas of agriculture field in Vietnam is irrigated through branches of rivers where valve gates are installed to take water for irrigation channel. The existing operations of irrigation channels are based on human experience with assumption that water level at front of the channels is always sufficient. However, now a day, with the effect of climate change and the conditions of complicated agriculture activities, the river conveys water levels and flows to irrigation channels are so different, as it varies with short time interval. The use of control policy without predictive model therefore lacks reliability and affects on the irrigation planning. In addition, the operations of irrigation channel systems at different areas on the same river should be cooperated to ensure the goal of sufficient water supply. In this paper, with the innovative technology of IoT and simulation cores, we developed a new computation framework which combines IoT real time data and MIKE 11 model to predict water flows and water levels for irrigation channels. The application is evaluated on An Kim Hai river in Vietnam © 2023 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85168138632"
"Sunkara V.; McKenna J.; Kar S.; Iliev I.; Bernstein D.N.","Sunkara, Vishwamithra (55842192600); McKenna, Jason (58045011900); Kar, Soumyashree (57200598841); Iliev, Iliyan (57203739438); Bernstein, Diana N. (55801473900)","55842192600; 58045011900; 57200598841; 57203739438; 55801473900","The Gulf of Mexico in trouble: Big data solutions to climate change science","2023","Frontiers in Marine Science","10","","1075822","","","","5","10.3389/fmars.2023.1075822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150974489&doi=10.3389%2ffmars.2023.1075822&partnerID=40&md5=2ed16047954e8243bc51b0233379708b","The latest technological advancements in the development and production of sensors have led to their increased usage in marine science, thus expanding data volume and rates within the field. The extensive data collection efforts to monitor and maintain the health of marine environments supports the efforts in data driven learning, which can help policy makers in making effective decisions. Machine learning techniques show a lot of promise for improving the quality and scope of marine research by detecting implicit patterns and hidden trends, especially in big datasets that are difficult to analyze with traditional methods. Machine learning is extensively used on marine science data collected in various regions, but it has not been applied in a significant way to data generated in the Gulf of Mexico (GOM). Machine learning methods using ocean science data are showing encouraging results and thus are drawing interest from data science researchers and marine scientists to further the research. The purpose of this paper is to review the existing approaches in studying GOM data, the state of the art in machine learning techniques as applied to the GOM, and propose solutions to GOM data problems. We review several issues faced by marine environments in GOM in addition to climate change and its effects. We also present machine learning techniques and methods used elsewhere to address similar problems and propose applications to problems in the GOM. We find that Harmful Algal Blooms (HABs), hypoxia, and sea-level rises have not received as much attention as other climate change problems and within the machine learning literature, the impacts on estuaries and coastal systems, as well as oyster mortality (also major problems for the GOM) have been understudied – we identify those as important areas for improvement. We anticipate this manuscript will act as a baseline for data science researchers and marine scientists to solve problems in the GOM collaboratively and/or independently. Copyright © 2023 Sunkara, McKenna, Kar, Iliev and Bernstein.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85150974489"
"Raut N.; Chaudhary P.; Patil H.; Kiran P.","Raut, Neelam (58166937400); Chaudhary, Prashant (57336292600); Patil, Harshali (57640530400); Kiran, Prabha (57190005214)","58166937400; 57336292600; 57640530400; 57190005214","Understanding the Contribution of Artificial Intelligence","2024","Handbook of Artificial Intelligence Applications for Industrial Sustainability: Concepts and Practical Examples","","","","64","73","9","0","10.1201/9781003348351-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184542730&doi=10.1201%2f9781003348351-5&partnerID=40&md5=6a1adf5d10200ba6e7e6022d17843ad5","Purpose: Today, it is a well-established fact that the fashion industry, especially the fast-fashion segment, has been a key natural resource devourer. As a result, this industry has also been a key contributor to the disastrous changes in the environment and decay in biodiversity. Here, the idea of sustainability and environment protection essentially has various facets such as responsible consumption of natural resources and preservation of natural resources. Design/methodology/approach: There is a dire need for this sector to adopt sustainable business practices across functions and processes such as sourcing, production, overall supply chain management, packaging, retailing, and disposal. It also includes reducing the waste and curbing exploitation practices by deploying research-based inventions, innovative ideas, and digital technologies. This approach will help these fashion brands to support United Nations’ (UN’s) Sustainable Development Goals. Although numerous ways are available to achieve these goals, cutting edge technologies such as artificial intelligence (AI), metaverse, machine learning, virtual reality, Internet of Things, augmented reality, and data analytics play a crucial role. This research endeavors to explore how these technologies can be leveraged by the fashion brands and retailers to evolve and improve on their efforts toward bringing sustainable and circular fashion for their customers. Findings and Practical Implications: Consumers are progressively more aware about the effects of climate emergency and are expecting fashion brands to place emphasis on sustainable business practices due to which the circular business models are no more optional, especially in the post COVID-19 world. Its highly likely that fashion brands that are embracing the circularity and adopting sustainable business practices using digital technologies such as AI are preferred by consumers especially by Generation Z and millennials and are hence expected to be more successful in the future. Originality/Value: This research endeavors to bring out practical recommendations for how the fashion brands and retailers can leverage the AI technologies for refining their processes and enhance the value proposition and brand credibility among their target audience. To conclude, this research is an endeavor to determine and underscore the plausible ways to achieve the targets set by UN’s Global Biodiversity Framework and accomplish the 2050 vision of “living in harmony with the ecological ecosystem.”. © 2024 selection and editorial matter, Vikas Garg, Richa Goel, Pooja Tiwari, and Esra S. Döngül.","Book chapter","Final","","Scopus","2-s2.0-85184542730"
"Jangid J.; Bhardwaj B.","Jangid, Jatin (58857680900); Bhardwaj, Bhawana (58115809800)","58857680900; 58115809800","Relationship between AI and green finance: Exploring the changing dynamics","2023","Leveraging AI and Emotional Intelligence in Contemporary Business Organizations","","","","211","218","7","0","10.4018/979-8-3693-1902-4.ch012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183800504&doi=10.4018%2f979-8-3693-1902-4.ch012&partnerID=40&md5=5b18f93bd854746156900fa8c1a18fe6","Green finance shows the pathway to address climate change related issues and helps in achieving the sustainable development goals (SDGs). Investor confidence is imperative for the growth of any financial instrument. Introduction of blockchain and fintech in green finance instruments helps to earn investor confidence. The purpose of the current study is to analyze the association and hedging effects between the artificial intelligence (AI) and green finance (GF). Data was extracted with the help of 'yahoofinance. com'. Correlation analysis was performed with the help of software R to address the objective of the study. Implication of the study helps investor to diversify their portfolio and helps issuers to issue AI enabled GF instruments. © 2024, IGI Global. All rights reserved.","Book chapter","Final","","Scopus","2-s2.0-85183800504"
